;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
2831;Paris Saint-Germain;Kylian Mbappé;19.0;Centre-Forward;Monaco;£130.50m;in;Summer;130.5;Ligue 1;2018;2018/2019;https://sofifa.com/player/231747/kylian-mbappe/190002;kylian-mbappé
2832;Torino FC;Etrit Berisha;32.0;Goalkeeper;SPAL;£270Th.;in;Summer;0.27;Serie A;2021;2021/2022;https://sofifa.com/player/189296/etrit-berisha/220002;etrit-berisha
2833;OGC Nice;Kasper Dolberg;21.0;Centre-Forward;Ajax;£18.45m;in;Summer;18.45;Ligue 1;2019;2019/2020;https://sofifa.com/player/228687/kasper-dolberg/200002;kasper-dolberg
2834;RB Leipzig;Benno Schmitz;21.0;Right-Back;RB Salzburg;£720Th.;in;Summer;0.72;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/222692/benno-schmitz/170002;benno-schmitz
2835;Hamburger SV;Andreas Hirzel;22.0;Goalkeeper;FC Vaduz;£45Th.;in;Summer;0.045;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/210776/andreas-hirzel/160002;andreas-hirzel
2836;Real Betis Balompié;Andrés Guardado;30.0;Central Midfield;PSV Eindhoven;£2.25m;in;Summer;2.25;Primera Division;2017;2017/2018;https://sofifa.com/player/171897/andres-guardado/180002;andrés-guardado
2837;Paris Saint-Germain;Thilo Kehrer;21.0;Centre-Back;FC Schalke 04;£33.30m;in;Summer;33.3;Ligue 1;2018;2018/2019;https://sofifa.com/player/226229/thilo-kehrer/190002;thilo-kehrer
2838;Leeds United;Barry Douglas;28.0;Left-Back;Wolves;£3.06m;in;Summer;3.06;Championship;2018;2018/2019;https://sofifa.com/player/200443/barry-douglas/190002;barry-douglas
2839;Real Betis Balompié;Javi García;30.0;Centre-Back;Zenit S-Pb;£1.35m;in;Summer;1.35;Primera Division;2017;2017/2018;https://sofifa.com/player/161754/fran-javier-garcia-fernandez/180002;javi-garcía
2840;OGC Nice;Alexis Claude-Maurice;21.0;Attacking Midfield;FC Lorient;£11.70m;in;Summer;11.7;Ligue 1;2019;2019/2020;https://sofifa.com/player/236477/alexis-claude-maurice/200002;alexis-claude-maurice
2841;NEC Nijmegen;Mihai Roman;23.0;Centre-Forward;Pandurii;£315Th.;in;Summer;0.315;Eredivisie;2015;2015/2016;https://sofifa.com/player/154860/mihai-roman/160002;mihai-roman
2842;Sporting CP;Zouhair Feddal;30.0;Centre-Back;Real Betis;£3.42m;in;Summer;3.42;Liga Nos;2020;2020/2021;https://sofifa.com/player/205705/zouhair-feddal/210002;zouhair-feddal
2843;West Bromwich Albion;Daryl Dike;21.0;Centre-Forward;Orlando;£7.77m;in;Winter;7.77;Championship;2021;2021/2022;https://sofifa.com/player/255043/daryl-dike/220002;daryl-dike
2844;Sporting Gijón;Fernando Amorebieta;31.0;Centre-Back;Fulham;£270Th.;in;Summer;0.27;Primera Division;2016;2016/2017;https://sofifa.com/player/162123/fernando-amorebieta/170002;fernando-amorebieta
2845;CS Marítimo;Ibson Melo;27.0;Centre-Forward;Ermis Aradippou;£45Th.;in;Summer;0.045;Liga Nos;2017;2017/2018;https://sofifa.com/player/239855/ibson-pereira-de-melo/180002;ibson-melo
2846;Sporting Gijón;Diego Mariño;26.0;Goalkeeper;Levante;£180Th.;in;Summer;0.18;Primera Division;2016;2016/2017;https://sofifa.com/player/199493/diego-marino-villar/170002;diego-mariño
